subject_code,subject_name
42171,Machine Learning
42172,Big Data Analytics
42173,Machine Vision
42174,Quantum Computing
42175,Natural Language Processing
42176,Augmented and Virtual Reality
42177,Blockchain
42178,Information Retrieval
42179,Product Lifecycle Management
42180,Reliability Engineering
42181,Management Information System
42182,Design of Experiments
42183,Operation Research
42184,Cyber Security and Laws
42185,Disaster Management & Mitigation Measures
42186,Energy Audit and Management
42187,Development Engineering
CSL701,Machine Learning Lab
CSL702,Big Data Analytics Lab
CSP701,Major Project 1
CSDL7011,Machine Vision Lab
CSDL7012,Quantum Computing Lab
CSDL7013,Natural Language Processing Lab
CSDL7021,Augmented and Virtual Reality Lab
CSDL7022,Blockchain Lab
CSDL7023,Information Retrieval Lab